interest_rate,late_payment_fee,annual_fee,billing_cycle,minimum_payment_pct,disclosure_provided,label
12.61,412,1954,29,5.79,1,1
33.29,1433,4512,25,6.42,1,0
38.28,639,4100,30,6.06,1,1
12.77,738,4716,37,5.17,1,1
29.76,155,687,45,5.43,1,1
15.36,405,4469,26,8.68,1,1
8.6,175,1034,41,9.72,1,0
34.04,551,3999,32,4.18,1,1
34.6,491,2343,36,8.9,0,0
23.37,456,4662,34,5.25,1,1
37.22,361,4375,25,9.26,1,1
6.17,472,1057,38,6.02,1,0
48.68,820,9626,81,4.73,0,0
29.02,261,701,40,8.53,1,1
57.36,642,10135,44,7.54,0,0
32.82,538,526,38,5.26,1,1
9.55,2140,7298,17,9.34,1,0
41.16,1671,4169,10,15.04,0,0
33.45,255,4850,45,3.94,1,1
33.89,1198,1022,37,2.63,1,1
31.92,855,3876,42,17.06,0,0
19.86,1004,4519,38,6.49,1,1
12.39,1042,517,83,18.99,0,0
31.88,143,414,35,0.39,1,0
21.01,733,3345,35,5.22,1,1
20.24,215,5629,49,2.59,1,0
22.18,323,2036,31,3.52,1,1
29.48,403,3520,29,2.33,1,1
6.0,408,506,39,2.83,0,0
26.05,254,1153,1,8.88,0,0
31.86,368,4892,37,3.23,0,0
31.92,786,765,32,7.38,1,1
41.53,1724,62,31,4.41,1,0
40.54,963,2066,27,5.76,1,1
33.04,2009,8609,58,6.62,0,0
14.64,616,2648,58,10.11,1,0
13.6,1128,6840,32,5.09,1,0
12.87,2360,2531,35,4.81,1,0
31.93,776,2571,28,7.76,1,1
24.69,533,4417,31,7.7,1,1
34.12,2396,187,43,13.25,0,0
22.88,691,11761,67,1.29,1,0
53.54,541,5999,42,0.8,1,0
37.85,926,982,43,3.97,1,1
37.01,722,2350,31,5.44,1,1
38.62,1099,4432,26,6.94,0,0
34.35,638,4788,38,9.18,1,1
35.62,321,3133,26,8.87,1,1
23.25,1362,2000,41,1.65,1,0
8.11,534,7625,49,3.61,1,0
14.4,480,561,44,2.54,1,1
36.9,265,1641,62,6.94,1,0
39.16,204,756,45,5.39,1,1
48.47,1413,4967,11,4.63,0,0
26.04,614,4532,25,7.44,1,1
16.66,789,837,27,5.04,1,1
46.41,1376,4888,42,11.52,1,0
25.5,2285,10322,39,8.1,1,0
15.19,711,4158,44,3.59,1,1
40.41,438,2171,41,8.98,1,1
3.0,1105,840,15,6.59,1,0
53.58,791,4617,26,8.6,1,0
29.97,1100,159,28,9.43,1,1
31.68,111,873,38,3.75,1,1
50.57,589,4684,22,3.87,1,0
3.52,1095,1572,32,10.0,1,0
39.39,744,1741,45,5.99,1,1
59.99,855,3828,42,3.04,1,0
13.23,2181,7239,24,13.77,1,0
20.36,242,2286,36,7.13,1,1
40.07,119,3754,44,9.99,1,1
40.07,1068,1990,40,8.46,1,1
31.18,151,2253,32,3.79,1,1
50.43,393,10463,39,7.1,1,0
33.87,434,3786,37,4.16,1,1
26.57,537,3285,26,3.32,1,1
17.71,298,3531,36,5.39,1,1
29.67,1357,11383,37,8.96,1,0
14.54,1856,5139,63,3.45,0,0
17.05,973,4927,28,16.21,0,0
39.51,1258,6021,88,4.81,0,0
14.24,625,7822,51,18.75,0,0
41.52,249,3730,38,9.09,1,1
41.98,1089,873,32,0.56,0,0
41.34,1190,1030,29,7.28,1,1
13.77,238,257,35,2.57,1,1
27.34,888,4723,31,4.04,1,1
48.21,717,4918,73,8.37,1,0
35.5,837,4038,45,11.38,0,0
21.58,1489,8684,29,0.2,1,0
42.87,944,4054,86,17.53,0,0
29.4,759,3809,39,5.54,1,1
8.52,458,3806,40,7.05,1,0
35.44,182,254,32,3.59,1,1
32.9,1096,1268,31,4.37,1,1
35.13,2110,3585,26,17.51,0,0
15.48,580,4403,29,5.11,0,0
31.28,2213,11530,56,2.02,0,0
28.69,2188,1001,49,0.59,1,0
33.23,999,7318,14,6.88,1,0
23.97,864,3588,41,5.61,1,1
40.21,503,2983,38,2.56,1,1
10.46,2453,3920,41,1.49,0,0
54.86,1676,8116,33,18.76,1,0
20.36,2454,212,30,17.77,1,0
